IDCliente,Genero,TerceraEdad,Casado,Dependientes,Meses,Telefono,LineasMultiples,Internet,Seguridad,BackUp,Proteccion,Soporte,StreamingTV,Peliculas,TipoContrato,FacturaElectronica,MetodoPago,UltimoCargo,TotalHistorico,Abandono
7590-VHVEG,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,3,29.9,29.9,0
5575-GNVDE,1,1,0,0,34,1,0,1,1,0,1,0,0,0,1,0,4,57,1889.5,0
3668-QPYBK,1,1,0,0,2,1,0,1,1,1,0,0,0,0,0,1,4,53.9,108.2,1
7795-CFOCW,1,1,0,0,45,0,0,1,1,0,1,1,0,0,1,0,1,42.3,1840.8,0
9237-HQITU,0,1,0,0,2,1,0,2,0,0,0,0,0,0,0,1,3,70.7,151.7,1
9305-CDSKC,0,1,0,0,8,1,1,2,0,0,1,0,1,1,0,1,3,99.7,820.5,1
1452-KIOVK,1,1,0,1,22,1,1,2,0,1,0,0,1,0,0,1,2,89.1,1949.4,0
6713-OKOMC,0,1,0,0,10,0,0,1,1,0,0,0,0,0,0,0,4,29.8,301.9,0
7892-POOKP,0,1,1,0,28,1,1,2,0,0,1,1,1,1,0,1,3,104.8,3046.1,1
6388-TABGU,1,1,0,1,62,1,0,1,1,1,0,0,0,0,1,0,1,56.2,3488,0
9763-GRSKD,1,1,1,1,13,1,0,1,1,0,0,0,0,0,0,1,4,50,587.5,0
7469-LKBCI,1,1,0,0,16,1,0,0,0,0,0,0,0,0,2,0,2,19,326.8,0
8091-TTVAX,1,1,1,0,58,1,1,2,0,0,1,0,1,1,1,0,2,100.4,5681.1,0
0280-XJGEX,1,1,0,0,49,1,1,2,0,1,1,0,1,1,0,1,1,103.7,5036.3,1
5129-JLPIS,1,1,0,0,25,1,0,2,1,0,1,1,1,1,0,1,3,105.5,2686.1,0
3655-SNQYZ,0,1,1,1,69,1,1,2,1,1,1,1,1,1,2,0,2,113.3,7895.2,0
8191-XWSZG,0,1,0,0,52,1,0,0,0,0,0,0,0,0,1,0,4,20.7,1023,0
9959-WOFKT,1,1,0,1,71,1,1,2,1,0,1,0,1,1,2,0,1,106.7,7382.3,0
4190-MFLUW,0,1,1,1,10,1,0,1,0,0,1,1,0,0,0,0,2,55.2,528.4,1
4183-MYFRB,0,1,0,0,21,1,0,2,0,1,1,0,0,1,0,1,3,90.1,1862.9,0
8779-QRDMV,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,3,39.7,39.7,1
1680-VDCWW,1,1,1,0,12,1,0,0,0,0,0,0,0,0,1,0,1,19.8,202.3,0
1066-JKSGK,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,20.2,20.2,1
3638-WEABW,0,1,1,0,58,1,1,1,0,1,0,1,0,0,2,1,2,59.9,3505.1,0
6322-HRPFA,1,1,1,1,49,1,0,1,1,1,0,1,0,0,0,0,2,59.6,2970.3,0
6865-JZNKO,0,1,0,0,30,1,0,1,1,1,0,0,0,0,0,1,1,55.3,1530.6,0
